Date,Open,High,Low,Close,FW Moving Average 25,Volume ,NextHigherorLower
4/25/22 10:05,420.3,420.91,420.15,420.34,424.94,1399500,1
4/25/22 10:10,420.34,421.52,419.99,421.14,424.55,1702600,0
4/25/22 10:15,421.12,421.73,420.5,420.86,424.16,1530900,1
4/25/22 10:20,420.86,421.48,420.55,421.4,423.83,1205700,1
4/25/22 10:25,421.4,422.31,420.27,422.28,423.59,1476400,1
4/25/22 10:30,422.31,423,422.3,422.66,423.4,1557100,1
4/25/22 10:35,422.66,424.19,422.59,424.04,423.32,1813200,0
4/25/22 10:40,424.04,424.4,422.95,422.95,423.18,1489200,0
4/25/22 10:45,422.95,424.15,421.93,422.32,423,1215200,1
4/25/22 10:50,422.32,423.39,422.1,423.33,422.91,1020800,0
4/25/22 10:55,423.35,423.37,421.36,421.58,422.7,1009800,0
4/25/22 11:00,421.58,421.74,420.58,420.72,422.45,1132600,1
4/25/22 11:05,420.7,421.28,420.47,421.07,422.25,1159700,0
4/25/22 11:10,421.07,421.15,420.49,420.62,422.04,960600,1
4/25/22 11:15,420.62,421.85,420.23,421,421.89,1103500,0
4/25/22 11:20,421,421,419.96,420.7,421.74,1101800,1
4/25/22 11:25,420.7,421.54,420.63,421.38,421.66,887100,0
4/25/22 11:30,421.38,422.21,420.54,420.74,421.56,1074800,0
4/25/22 11:35,420.74,420.93,419.82,420.55,421.46,1295100,0
4/25/22 11:40,420.55,421.7,420.08,420.4,421.37,958300,0
4/25/22 11:45,420.4,420.62,419.83,419.84,421.24,860300,0
4/25/22 11:50,419.84,419.85,418.89,418.94,421.05,1281900,1
4/25/22 11:55,418.93,419.49,418.84,419.18,420.88,1008500,1
4/25/22 12:00,419.18,419.92,419.01,419.77,420.77,1140900,1
4/25/22 12:05,419.77,419.85,419.16,419.81,420.67,1047700,1
4/25/22 12:10,419.81,421.63,419.74,421.14,420.67,1663500,1
4/25/22 12:15,421.14,421.8,420.11,421.2,420.68,1210600,0
4/25/22 12:20,421.2,421.9,420.65,420.89,420.66,839200,1
4/25/22 12:25,420.89,422.27,420.89,422.27,420.75,969000,0
4/25/22 12:30,422.27,422.68,421.6,421.68,420.79,973000,1
4/25/22 12:35,421.71,422.65,421.41,422.21,420.87,947000,1
4/25/22 12:40,422.21,423.01,422.11,422.29,420.96,1208700,0
4/25/22 12:45,422.29,422.43,421.62,421.67,421,671400,1
4/25/22 12:50,421.68,423.2,421.67,423.04,421.16,815800,0
4/25/22 12:55,423.04,423.29,422.01,422.02,421.23,741800,1
4/25/22 13:00,422.02,422.22,421.63,422.04,421.31,701700,0
4/25/22 13:05,422.08,422.46,420.98,421.23,421.33,895400,1
4/25/22 13:10,421.23,422.56,421.07,422.54,421.45,814300,1
4/25/22 13:15,422.56,423.34,422.39,423.14,421.61,959100,0
4/25/22 13:20,423.14,423.79,422.85,423.13,421.76,1010800,1
4/25/22 13:25,423.13,423.34,422.73,423.2,421.9,554100,0
4/25/22 13:30,423.2,423.54,422.3,423,422.03,720100,0
4/25/22 13:35,423.03,423.69,422.3,422.5,422.11,910700,0
4/25/22 13:40,422.5,422.61,421.97,422.29,422.17,589700,1
4/25/22 13:45,422.29,423.27,422.21,422.85,422.27,729200,1
4/25/22 13:50,422.85,423.04,422.4,422.94,422.37,469300,0
4/25/22 13:55,422.94,423.19,421.96,422.84,422.45,853300,0
4/25/22 14:00,422.84,422.84,422.13,422.49,422.49,721500,0
4/25/22 14:05,422.49,422.72,421.75,421.84,422.47,897900,1
4/25/22 14:10,421.84,423.49,421.81,423.32,422.56,803300,1
4/25/22 14:15,423.32,423.7,422.65,423.33,422.64,1008900,1
4/25/22 14:20,423.33,424.38,423.33,424.08,422.77,1113900,1
4/25/22 14:25,424.08,424.98,423.78,424.86,422.95,1346700,1
4/25/22 14:30,424.86,425.62,424.64,425.56,423.17,1780900,1
4/25/22 14:35,425.56,425.81,425.31,425.68,423.39,909900,0
4/25/22 14:40,425.67,425.8,425.03,425.04,423.55,1226500,0
4/25/22 14:45,425.04,425.44,424.8,425.01,423.7,1066500,1
4/25/22 14:50,425.01,426.29,424.72,426.19,423.93,1226400,1
4/25/22 14:55,426.19,426.76,425.96,426.72,424.19,960500,0
4/25/22 15:00,426.72,426.76,425.46,425.51,424.34,1061500,0
4/25/22 15:05,425.49,425.73,424.04,424.43,424.4,1605400,0
4/25/22 15:10,424.45,424.6,423.84,424.32,424.44,1338400,1
4/25/22 15:15,424.33,424.95,424.24,424.89,424.52,1204600,1
4/25/22 15:20,424.89,426.04,424.89,426.02,424.68,1236400,1
4/25/22 15:25,426.03,427.15,426,427.03,424.91,1527300,1
4/25/22 15:30,427.04,427.42,426.01,427.21,425.14,1761500,1
4/25/22 15:35,427.21,427.53,426.84,427.34,425.36,1716900,1
4/25/22 15:40,427.35,428.2,427.17,428.06,425.63,1617100,1
4/25/22 15:45,428.06,428.47,427.06,428.25,425.9,2358100,0
4/25/22 15:50,428.25,428.59,427.4,427.82,426.11,2332900,1
4/25/22 15:55,427.66,428.69,427.13,428.56,426.37,2922700,0
4/25/22 16:00,428.56,428.65,427.92,428.5,426.6,5901300,0
4/26/22 9:35,425.92,426.04,425.04,425.1,426.56,2386900,1
4/26/22 9:40,425.1,425.72,424.94,425.13,426.51,1521000,0
4/26/22 9:45,425.15,425.37,424.19,424.23,426.38,1596000,0
4/26/22 9:50,424.23,425.09,424,424.19,426.24,1715500,0
4/26/22 9:55,424.19,424.51,423.54,423.55,426.05,1684600,1
4/26/22 10:00,423.55,423.94,423.43,423.86,425.89,1055400,0
4/26/22 10:05,423.85,423.95,423.37,423.75,425.72,1327700,1
4/26/22 10:10,423.75,424.64,423.62,424.42,425.61,1199400,0
4/26/22 10:15,424.41,424.61,423.32,423.4,425.43,1002100,0
4/26/22 10:20,423.4,423.4,421.88,422.16,425.15,1524900,0
4/26/22 10:25,422.16,422.39,421.43,421.83,424.86,1535500,1
4/26/22 10:30,421.83,422.49,421.47,422.46,424.63,1073900,0
4/26/22 10:35,422.46,422.58,421.47,421.58,424.34,983700,0
4/26/22 10:40,421.58,422.2,420.97,421.32,424.05,1179900,0
4/26/22 10:45,421.32,421.59,420.49,420.82,423.73,1407500,1
4/26/22 10:50,420.81,421.69,420.7,421.64,423.48,1151700,0
4/26/22 10:55,421.63,421.95,421.04,421.17,423.21,810200,0
4/26/22 11:00,421.19,421.46,420.96,421.07,422.94,787000,0
4/26/22 11:05,421.04,421.07,420.43,420.49,422.65,933500,1
4/26/22 11:10,420.49,420.75,420.21,420.62,422.39,975100,1
4/26/22 11:15,420.62,421.22,420.45,421.21,422.19,964700,0
4/26/22 11:20,421.21,421.22,420.26,420.3,421.95,780200,1
4/26/22 11:25,420.3,421.55,420.17,420.99,421.78,1068400,0
4/26/22 11:30,420.99,421.31,420.75,420.84,421.62,611900,0
4/26/22 11:35,420.83,421.24,420.32,420.68,421.48,866300,0
4/26/22 11:40,420.7,420.78,419.78,420.33,421.33,1315600,1
4/26/22 11:45,420.33,420.51,419.61,420.47,421.2,984600,0
4/26/22 11:50,420.47,420.71,420.14,420.46,421.09,602400,0
4/26/22 11:55,420.46,420.72,420.18,420.21,420.97,685200,0
4/26/22 12:00,420.21,420.23,419.41,419.45,420.81,821100,1
4/26/22 12:05,419.45,419.95,419.44,419.84,420.69,755700,1
4/26/22 12:10,419.84,420.57,419.71,420.47,420.63,702400,1
4/26/22 12:15,420.47,420.65,420.13,420.56,420.58,651900,1
4/26/22 12:20,420.56,421.12,420.54,420.93,420.58,882200,1
4/26/22 12:25,420.93,421.67,420.91,421.31,420.61,842300,1
4/26/22 12:30,421.31,422.27,421.27,421.99,420.7,1114300,0
4/26/22 12:35,421.99,422.24,421.41,421.58,420.76,697100,0
4/26/22 12:40,421.58,421.85,420.9,420.99,420.77,543200,1
4/26/22 12:45,420.99,421.36,420.78,421.08,420.79,653100,0
4/26/22 12:50,421.08,421.15,420.57,420.7,420.79,473900,1
4/26/22 12:55,420.69,421.41,420.61,421.05,420.81,627300,1
4/26/22 13:00,421.04,422.31,420.86,422.23,420.92,827200,0
4/26/22 13:05,422.23,422.26,420.4,420.52,420.9,981200,1
4/26/22 13:10,420.54,420.92,420.5,420.62,420.89,618100,0
4/26/22 13:15,420.61,420.87,420.08,420.09,420.84,545100,0
4/26/22 13:20,420.08,420.33,419.58,419.64,420.75,856800,0
4/26/22 13:25,419.64,419.81,419.32,419.36,420.65,671400,0
4/26/22 13:30,419.35,419.55,419,419.19,420.53,768700,1
4/26/22 13:35,419.19,419.54,418.74,419.28,420.43,895500,1
4/26/22 13:40,419.28,419.61,418.88,419.4,420.35,1048300,1
4/26/22 13:45,419.41,420.57,419.35,420.23,420.33,1009300,0
4/26/22 13:50,420.26,420.42,419.59,419.95,420.29,781200,0
4/26/22 13:55,419.95,420.03,419.25,419.26,420.2,687000,1
4/26/22 14:00,419.25,419.75,419.18,419.41,420.12,893800,0
4/26/22 14:05,419.41,419.63,419,419.37,420.05,874400,0
4/26/22 14:10,419.37,419.79,419.19,419.31,419.97,657900,1
4/26/22 14:15,419.33,420.07,419.27,419.95,419.94,668600,0
4/26/22 14:20,419.94,420.52,419.47,419.85,419.9,879400,1
4/26/22 14:25,419.85,420.95,419.76,420.64,419.93,770900,0
4/26/22 14:30,420.64,420.86,420.1,420.58,419.95,625800,0
4/26/22 14:35,420.54,420.67,419.87,420.38,419.96,725900,1
4/26/22 14:40,420.39,421,420.29,420.58,419.99,704100,0
4/26/22 14:45,420.58,420.58,419.39,419.45,419.94,951000,1
4/26/22 14:50,419.45,419.95,419.23,419.55,419.9,866500,1
4/26/22 14:55,419.55,420.4,419.48,420.26,419.91,648900,1
4/26/22 15:00,420.26,420.95,420.18,420.75,419.97,709000,0
4/26/22 15:05,420.72,421.22,420.21,420.25,419.99,1026600,0
4/26/22 15:10,420.24,420.32,419.44,419.55,419.96,891800,0
4/26/22 15:15,419.54,419.97,418.61,418.73,419.87,1195400,0
4/26/22 15:20,418.72,418.78,417.61,417.79,419.72,1714600,1
4/26/22 15:25,417.79,418.56,417.73,418.39,419.62,1432700,0
4/26/22 15:30,418.39,418.55,417.79,417.96,419.49,1164000,0
4/26/22 15:35,417.95,418.22,417.24,417.49,419.33,2164100,1
4/26/22 15:40,417.49,418.2,417.11,418.17,419.22,1668400,0
4/26/22 15:45,418.17,418.43,417.4,418.09,419.11,1745600,0
4/26/22 15:50,418.09,418.45,417.2,417.49,418.96,2586300,0
4/26/22 15:55,417.49,418.31,417.02,417.12,418.79,3725800,0
4/26/22 16:00,417.12,417.68,416.07,416.11,418.55,6964300,1
4/27/22 9:35,417.38,418.49,417.15,417.91,418.46,3657700,1
4/27/22 9:40,417.91,418.76,417.8,418.42,418.42,2189800,1
4/27/22 9:45,418.42,420.58,418.24,420.53,418.54,2292000,1
4/27/22 9:50,420.54,421.77,420.44,421.37,418.71,2434000,0
4/27/22 9:55,421.38,422.02,420.53,420.75,418.84,1813000,0
4/27/22 10:00,420.73,420.99,420.38,420.75,418.97,1043000,0
4/27/22 10:05,420.75,421.76,419.23,419.51,418.99,1871400,0
4/27/22 10:10,419.5,419.78,418.79,419.07,418.99,1654700,0
4/27/22 10:15,419.07,421.77,416.91,417.01,418.84,1889000,0
4/27/22 10:20,417.02,417.05,415.81,416.44,418.65,2175800,1
4/27/22 10:25,416.41,417.7,416.24,417.2,418.53,1827600,0
4/27/22 10:30,417.19,417.76,415.89,415.94,418.31,1113100,1
4/27/22 10:35,415.94,416.08,415.01,415.99,418.12,2150500,1
4/27/22 10:40,415.98,417.82,415.81,417.51,418.06,1721400,1
4/27/22 10:45,417.51,418.36,417.35,418.05,418.05,1265800,1
4/27/22 10:50,418.05,419.28,417.77,419.22,418.13,1313900,0
4/27/22 10:55,419.23,419.32,418.12,418.19,418.13,1119400,0
4/27/22 11:00,418.2,418.82,417.97,418.03,418.12,847600,1
4/27/22 11:05,418.03,419.92,417.97,418.76,418.16,1499600,0
4/27/22 11:10,418.76,418.89,417.96,418.29,418.17,983000,1
4/27/22 11:15,418.29,419.21,417.71,418.39,418.18,1158000,1
4/27/22 11:20,418.38,419.61,418.38,419.37,418.27,1285100,0
4/27/22 11:25,419.37,419.83,418.39,419.31,418.34,1116800,1
4/27/22 11:30,419.31,420.03,419.08,419.8,418.45,1050800,1
4/27/22 11:35,419.82,420.77,419.78,420.72,418.63,1467000,0
4/27/22 11:40,420.73,420.82,420.3,420.36,418.76,911400,1
4/27/22 11:45,420.36,421,420.05,420.39,418.88,912200,0
4/27/22 11:50,420.42,420.44,419.85,420.16,418.99,702400,0
4/27/22 11:55,420.15,420.31,418.94,419.15,419.01,787800,1
4/27/22 12:00,419.13,419.74,418.96,419.69,419.08,697700,0
4/27/22 12:05,419.68,419.93,418.73,419.52,419.15,695400,1
4/27/22 12:10,419.52,420.55,419.5,420.39,419.28,675300,0
4/27/22 12:15,420.39,420.46,419.9,420.12,419.39,591200,0
4/27/22 12:20,420.13,420.51,419.69,420,419.49,587500,1
4/27/22 12:25,419.99,421.91,419.79,421.57,419.7,1312600,1
4/27/22 12:30,421.62,422.24,421.44,422.11,419.94,1008500,0
4/27/22 12:35,422.11,422.49,421.69,421.95,420.15,1048800,0
4/27/22 12:40,421.95,422.07,421.34,421.91,420.33,863800,1
4/27/22 12:45,421.91,422.92,421.64,422.45,420.54,996600,0
4/27/22 12:50,422.45,422.65,421.71,421.89,420.7,971700,1
4/27/22 12:55,421.89,422.11,421.61,421.9,420.84,533400,1
4/27/22 13:00,421.9,422.15,421.69,422.06,420.98,698600,1
4/27/22 13:05,422.06,422.23,420.09,422.1,421.12,2567700,0
4/27/22 13:10,422.1,422.35,420.67,420.84,421.14,1099800,0
4/27/22 13:15,420.84,421.16,420.16,420.72,421.15,1073300,0
4/27/22 13:20,420.73,420.76,420.13,420.4,421.13,764400,1
4/27/22 13:25,420.4,421.17,420.34,420.56,421.12,841200,1
4/27/22 13:30,420.56,421.61,419.65,421.53,421.17,1262800,0
4/27/22 13:35,421.53,421.96,421.06,421.48,421.22,758000,0
4/27/22 13:40,421.47,421.93,420.62,420.89,421.21,583100,0
4/27/22 13:45,420.89,421.07,420.44,420.85,421.21,508200,1
4/27/22 13:50,420.84,421.7,420.6,421.57,421.25,608800,1
4/27/22 13:55,421.57,422.15,421.45,421.92,421.32,570000,1
4/27/22 14:00,421.92,421.99,421.45,421.93,421.38,500100,0
4/27/22 14:05,421.92,421.96,421.11,421.21,421.38,614600,1
4/27/22 14:10,421.2,421.67,421.06,421.32,421.38,429300,1
4/27/22 14:15,421.32,421.71,420.84,421.46,421.39,478700,0
4/27/22 14:20,421.42,421.48,420.38,420.62,421.33,511300,0
4/27/22 14:25,420.64,421.23,420.56,420.56,421.27,374600,0
4/27/22 14:30,420.56,420.71,420.21,420.37,421.19,456400,1
4/27/22 14:35,420.37,421.02,420.18,420.83,421.14,527800,0
4/27/22 14:40,420.83,420.97,419.38,420.57,421.09,897300,1
4/27/22 14:45,420.57,421.43,420.5,421.15,421.08,879200,0
4/27/22 14:50,421.17,421.56,420.42,420.65,421.03,883000,0
4/27/22 14:55,420.65,420.78,419.51,419.68,420.92,660600,0
4/27/22 15:00,419.66,419.66,418.29,418.71,420.73,1366500,0
4/27/22 15:05,418.71,419,417.78,418.06,420.51,1459200,1
4/27/22 15:10,418.05,418.68,417.69,418.08,420.3,1468500,1
4/27/22 15:15,418.07,418.68,417.63,418.41,420.13,1150800,0
4/27/22 15:20,418.42,418.9,417.56,418.04,419.94,928000,0
4/27/22 15:25,418.04,418.28,417.24,417.73,419.73,1090500,1
4/27/22 15:30,417.73,418.52,417.71,418.27,419.57,1037400,0
4/27/22 15:35,418.27,418.64,417.77,417.96,419.39,1077900,0
4/27/22 15:40,417.96,418.32,417.1,417.35,419.18,1535300,1
4/27/22 15:45,417.36,418.65,417.12,418.3,419.06,1668100,0
4/27/22 15:50,418.3,418.79,417.37,417.49,418.88,1959800,0
4/27/22 15:55,417.48,417.65,416.53,417.36,418.7,4200800,0
4/27/22 16:00,417.36,417.99,416.9,417.25,418.53,5977500,1
4/28/22 9:35,422.17,423.08,421.11,421.15,418.67,2734400,0
4/28/22 9:40,421.16,421.74,420.73,420.79,418.78,1853700,0
4/28/22 9:45,420.79,421.51,419.64,419.81,418.82,1328000,1
4/28/22 9:50,419.81,420.85,419.75,420.03,418.88,1374700,1
4/28/22 9:55,420.03,420.86,419.56,420.7,419,1328000,0
4/28/22 10:00,420.7,420.82,420.09,420.48,419.1,841300,0
4/28/22 10:05,420.45,420.52,418.75,418.85,419.08,1504300,1
4/28/22 10:10,418.83,419.95,418.63,419.55,419.11,1053100,0
4/28/22 10:15,419.56,419.91,418.9,419.47,419.14,983700,1
4/28/22 10:20,419.47,420.65,418.91,420.57,419.26,1270200,0
4/28/22 10:25,420.57,420.68,419.79,419.86,419.33,955100,0
4/28/22 10:30,419.86,419.92,418.41,418.48,419.29,1487500,0
4/28/22 10:35,418.48,418.71,417.89,418,419.22,1374800,1
4/28/22 10:40,418,418.75,417.91,418.21,419.17,796300,1
4/28/22 10:45,418.21,418.46,417.6,418.38,419.13,782600,0
4/28/22 10:50,418.38,418.93,418.19,418.37,419.09,886000,1
4/28/22 10:55,418.37,418.72,417.77,418.66,419.07,677200,1
4/28/22 11:00,418.66,419.58,418.52,419.28,419.1,872100,1
4/28/22 11:05,419.28,419.97,419.09,419.8,419.16,803700,1
4/28/22 11:10,419.8,420.84,419.51,420.66,419.29,901400,1
4/28/22 11:15,420.66,420.85,420.39,420.84,419.42,696100,1
4/28/22 11:20,420.82,421.28,420.53,421.24,419.57,1202200,0
4/28/22 11:25,421.24,421.3,420.54,420.79,419.67,585800,0
4/28/22 11:30,420.81,421.26,420.61,420.74,419.76,685600,1
4/28/22 11:35,420.74,421.35,420.38,421.22,419.88,781200,0
4/28/22 11:40,421.22,421.3,420.24,420.31,419.92,584100,0
4/28/22 11:45,420.31,420.59,419.96,420.04,419.94,559000,0
4/28/22 11:50,420.04,420.14,419.47,419.98,419.95,587500,1
4/28/22 11:55,419.97,420.92,419.75,420.5,420.01,697400,1
4/28/22 12:00,420.5,420.67,420,420.55,420.07,396000,1
4/28/22 12:05,420.55,421,420.13,420.88,420.15,506800,0
4/28/22 12:10,420.88,420.9,420.02,420.46,420.2,516500,1
4/28/22 12:15,420.46,421.33,420.41,421.32,420.31,461400,1
4/28/22 12:20,421.32,422.07,421.26,422.04,420.47,814900,1
4/28/22 12:25,422.04,422.64,421.88,422.5,420.66,667100,1
4/28/22 12:30,422.5,423.22,422.48,423.21,420.9,877000,1
4/28/22 12:35,423.21,423.73,423.09,423.69,421.16,667100,1
4/28/22 12:40,423.7,424.19,423.65,424.02,421.44,983800,1
4/28/22 12:45,424.01,424.75,424.01,424.75,421.75,1081800,1
4/28/22 12:50,424.75,425.8,424.74,425.24,422.07,2161100,1
4/28/22 12:55,425.25,425.43,424.67,425.28,422.39,1261200,1
4/28/22 13:00,425.28,425.64,425,425.6,422.7,789100,1
4/28/22 13:05,425.6,425.94,425.23,425.84,423.01,1195400,1
4/28/22 13:10,425.82,426.42,425.51,426.28,423.33,1094900,1
4/28/22 13:15,426.28,427.2,426.21,427.06,423.7,1300300,0
4/28/22 13:20,427.06,427.3,426.44,426.94,424.03,1066700,0
4/28/22 13:25,426.95,426.99,426.19,426.49,424.32,739500,1
4/28/22 13:30,426.46,427.05,426.43,426.86,424.61,655400,1
4/28/22 13:35,426.87,427.14,426.32,426.89,424.89,1144600,1
4/28/22 13:40,426.89,427.58,426.65,427.47,425.19,925700,0
4/28/22 13:45,427.47,427.63,426.5,426.96,425.44,965800,1
4/28/22 13:50,426.95,427.55,426.77,427.39,425.7,671200,0
4/28/22 13:55,427.4,427.45,426.64,426.8,425.89,833500,1
4/28/22 14:00,426.8,427.23,426.59,427.17,426.09,559100,1
4/28/22 14:05,427.17,427.47,427.03,427.35,426.28,740400,0
4/28/22 14:10,427.35,427.37,426.82,427.15,426.43,602900,0
4/28/22 14:15,427.15,427.53,426.96,427.07,426.56,603500,1
4/28/22 14:20,427.06,427.36,426.72,427.35,426.69,530300,1
4/28/22 14:25,427.34,427.68,426.97,427.66,426.83,539600,0
4/28/22 14:30,427.66,427.66,427.23,427.54,426.94,603400,0
4/28/22 14:35,427.55,427.79,427.13,427.52,427.03,1114000,1
4/28/22 14:40,427.52,427.94,427.42,427.82,427.13,815900,1
4/28/22 14:45,427.83,428.41,427.81,428.37,427.26,1024400,1
4/28/22 14:50,428.37,428.83,428.3,428.82,427.41,1020700,0
4/28/22 14:55,428.82,429.2,428.32,428.33,427.52,1155300,1
4/28/22 15:00,428.33,428.76,428.2,428.65,427.63,794200,1
4/28/22 15:05,428.65,429.03,428.3,428.7,427.75,1262200,1
4/28/22 15:10,428.7,429.17,428.66,429.03,427.87,798800,0
4/28/22 15:15,429.03,429.06,428.48,428.64,427.96,895800,1
4/28/22 15:20,428.63,429.11,428.45,429.11,428.07,738400,1
4/28/22 15:25,429.11,429.64,428.97,429.6,428.22,1111700,0
4/28/22 15:30,429.6,429.6,428.72,428.77,428.3,1225400,0
4/28/22 15:35,428.78,428.87,428.03,428.14,428.32,1536600,0
4/28/22 15:40,428.14,428.41,427.57,427.99,428.32,1648000,0
